epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.732,1.146031053039502,0.001,0.732,0.7069450057556399
2,0.8312000000000002,0.5009250689477471,0.001,0.818,0.5471163195020304
3,0.8695999999999998,0.3808972201307467,0.001,0.808,0.5051604334809513
4,0.8967999999999996,0.30058227265460435,0.001,0.836,0.44954997487575415
5,0.8988,0.28862963392062724,0.001,0.872,0.3920433472064642
6,0.8900000000000005,0.33362113312969,0.001,0.882,0.37000143176685196
7,0.9188000000000001,0.25819261634350765,0.001,0.89,0.321340779998463
8,0.9283999999999998,0.2141327880271578,0.001,0.89,0.29211953044437244
9,0.9224,0.22420564524915232,0.001,0.888,0.2733519592471597
10,0.9116,0.2624574495468638,0.001,0.884,0.32945748260391383
11,0.9188,0.24904376595149683,0.001,0.894,0.3281760051955924
12,0.9339999999999994,0.18041392496243666,0.001,0.898,0.28958833793137284
13,0.9408,0.1772491167916218,0.001,0.94,0.20572722351140296
14,0.9383999999999999,0.18221569741961863,0.001,0.91,0.2314501977014668
15,0.9416,0.17599366554511245,0.001,0.894,0.28542361369240105
16,0.9475999999999997,0.16182184874708846,0.001,0.91,0.3323850590180944
17,0.934,0.20056553714181036,0.001,0.934,0.19088015795022342
18,0.9439999999999997,0.1781030484283999,0.001,0.922,0.23102918335074
19,0.9539999999999995,0.12878140513248063,0.001,0.94,0.2148426578220565
20,0.9551999999999998,0.13563567620271721,0.0005,0.938,0.19385627293836605
21,0.9663999999999997,0.0965787326654099,0.0005,0.95,0.16455963512188634
22,0.9563999999999996,0.1219398672292137,0.0005,0.938,0.17915539112857337
23,0.956,0.12240135272947521,0.0005,0.94,0.22491697775619907
24,0.9731999999999995,0.08476793234505803,0.0005,0.948,0.1726635510692673
25,0.9743999999999997,0.08038286795505747,0.0005,0.948,0.12451373733686408
26,0.9651999999999998,0.1015290036189697,0.0005,0.94,0.2201878389632679
27,0.9691999999999996,0.09444975111508101,0.0005,0.952,0.1549713897114198
28,0.9676,0.11315394037599255,0.0005,0.938,0.13652413832393845
29,0.9667999999999999,0.10894411100579092,0.0005,0.938,0.17617429856851383
30,0.9583999999999996,0.1153744352649939,0.0005,0.956,0.1215511525965545
31,0.9667999999999997,0.10552723806409865,0.0005,0.928,0.20019592351214352
32,0.9667999999999998,0.09404138841596195,0.0005,0.94,0.19442875356005307
33,0.9707999999999996,0.0940566043762318,0.0005,0.942,0.18108905744692738
34,0.9595999999999998,0.10606810553874761,0.0005,0.944,0.172075708042766
35,0.9755999999999997,0.08504787908260406,0.0005,0.952,0.16641278375263885
36,0.9727999999999996,0.0824173511605113,0.0005,0.964,0.10755411526354995
37,0.9643999999999999,0.13098043757992003,0.0005,0.93,0.24936224440065016
38,0.9679999999999996,0.08894751981521704,0.0005,0.934,0.20634745939122703
39,0.9699999999999998,0.09328290810984707,0.0005,0.932,0.2155234890059345
40,0.9723999999999997,0.07717835185359181,0.00025,0.948,0.17292838737384691
